序号,岗位名称,是否AI岗位,学历,工作经验,城市,城市等级,公司规模,月薪,岗位职责
309,品牌运营,否,本科,1-3年,上海,一线城市,50-150人,7900,分析品牌健康度指标（认知度/好感度/搜索指数）；协调外部媒体和KOL资源，扩大品牌声量；监测品牌舆情和口碑，及时进行声誉管理；管理品牌官方账号矩阵，统一视觉和语言风格；策划品牌营销事件（联名/跨界/节日营销）
310,社群运营,否,本科,3-5年,襄阳,三线城市,500-2000人,4000,培养社群KOC，激励用户自发裂变拉新；搭建并管理微信社群/企业微信群（拉新→活跃→转化）；分析社群数据（入群率、活跃度、转化率、流失率）；处理群内投诉和负面情绪，维护社群氛围
311,短视频运营,否,本科,3-5年,岳阳,三线城市,2000人以上,3400,负责抖音、快手、视频号等短视频平台的账号运营；跟进拍摄和后期剪辑，把控成片质量；分析短视频数据（完播率、点赞、涨粉）优化内容
312,新媒体运营专员,否,本科,1-3年,郑州,新一线城市,50-150人,5200,回复用户评论和私信，维护品牌形象；跟踪热点话题，快速产出相关内容提升曝光；撰写新媒体文案，策划选题并执行内容发布；协助策划线上活动，提升粉丝活跃度和粘性；负责微信公众号、微博等平台的日常内容更新与维护
313,新媒体运营经理,否,大专,5-10年,北京,一线城市,150-500人,7100,统筹跨部门协作，推动品牌传播项目落地；带领运营团队完成各平台粉丝增长与互动目标；管理运营预算，控制投入产出比(ROI)
314,新媒体运营经理,否,大专,1-3年,武汉,新一线城市,500-2000人,4100,制定新媒体矩阵整体运营策略和年度内容规划；分析运营数据，优化内容方向和投放策略；研究竞品动态和行业趋势，调整运营打法
315,短视频运营,否,硕士,3-5年,杭州,一线城市,50-150人,11500,跟进拍摄和后期剪辑，把控成片质量；负责抖音、快手、视频号等短视频平台的账号运营；分析短视频数据（完播率、点赞、涨粉）优化内容；研究平台算法规则，提升视频推荐量和曝光；策划短视频内容选题，撰写分镜脚本
316,用户运营,否,本科,3-5年,武汉,新一线城市,500-2000人,6300,搭建用户分层体系（新用户/活跃用户/沉睡用户）；策划用户激励活动（签到/积分/会员权益）；建立用户反馈闭环机制，推动产品优化；设计用户增长策略，提升拉新转化率和留存率；维护核心用户社群，培养KOC并引导UGC产出
317,智能营销运营,是,硕士,5-10年,西安,新一线城市,2000人以上,18100,运用AI进行A/B测试分析和营销素材智能优化；利用AI进行营销人群定向和智能投放策略优化；通过自然语言处理(NLP)分析用户评论和舆情趋势
318,AI内容策划,是,本科,1-3年,南宁,二线城市,150-500人,5900,结合AI数据分析用户内容偏好，制定内容策略方向；探索RAG（检索增强生成）技术在内容生产中的应用；运用大语言模型辅助选题生成、内容大纲和初稿撰写
319,直播运营,否,本科,1年以下,西安,新一线城市,150-500人,3900,维护粉丝群，提升复购率和用户粘性；负责直播间的日常运营和排期管理；管理直播投流（千川/聚星），优化ROI；策划直播主题和脚本，协调主播和商品资源
320,内容运营,否,大专,1-3年,济南,二线城市,150-500人,3100,分析内容数据（阅读量、完读率、转发率）持续迭代；管理内容日历，确保各渠道内容按时发布；挖掘用户内容偏好，产出针对性内容策略；策划并撰写高质量原创内容（图文/视频脚本/专题）
321,新媒体运营经理,否,硕士,3-5年,贵阳,二线城市,2000人以上,8300,带领运营团队完成各平台粉丝增长与互动目标；分析运营数据，优化内容方向和投放策略；管理运营预算，控制投入产出比(ROI)；研究竞品动态和行业趋势，调整运营打法
322,品牌运营,否,大专,1年以下,深圳,一线城市,2000人以上,6000,策划品牌营销事件（联名/跨界/节日营销）；协调外部媒体和KOL资源，扩大品牌声量；制定品牌在新媒体渠道的传播策略和调性定位；管理品牌官方账号矩阵，统一视觉和语言风格
323,AI短视频运营,是,本科,1-3年,南宁,二线城市,150-500人,5400,通过AI数字人技术打造24小时直播/短视频产能；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材；使用AI工具进行批量视频剪辑、字幕生成和配音；分析AI生成的视频数据，迭代提示词和制作流程；运用AI分析短视频平台算法，优化发布时间和内容策略
324,AI短视频运营,是,硕士,1年以下,遵义,三线城市,2000人以上,5600,分析AI生成的视频数据，迭代提示词和制作流程；通过AI数字人技术打造24小时直播/短视频产能；探索AI+短视频的创意表达（AI特效/AI换装/AI剧情）；使用AI工具进行批量视频剪辑、字幕生成和配音
325,短视频运营,否,博士,10年以上,贵阳,二线城市,2000人以上,11100,负责抖音、快手、视频号等短视频平台的账号运营；研究平台算法规则，提升视频推荐量和曝光；跟进拍摄和后期剪辑，把控成片质量；策划短视频内容选题，撰写分镜脚本；对接达人/KOL资源，策划合作推广内容
326,新媒体运营经理,否,本科,1年以下,襄阳,三线城市,150-500人,2700,统筹跨部门协作，推动品牌传播项目落地；分析运营数据，优化内容方向和投放策略；制定新媒体矩阵整体运营策略和年度内容规划；带领运营团队完成各平台粉丝增长与互动目标；管理运营预算，控制投入产出比(ROI)
327,智能营销运营,是,硕士,1-3年,武汉,新一线城市,150-500人,14100,运用AI进行A/B测试分析和营销素材智能优化；结合大模型进行营销文案自动生成和多版本测试；通过自然语言处理(NLP)分析用户评论和舆情趋势；搭建基于机器学习的用户生命周期价值(LTV)预测模型
328,社群运营,否,博士,5-10年,南宁,二线城市,150-500人,8800,分析社群数据（入群率、活跃度、转化率、流失率）；处理群内投诉和负面情绪，维护社群氛围；制定社群SOP（群规/入群欢迎语/日常互动流程）
329,活动运营,否,本科,3-5年,南京,新一线城市,500-2000人,8800,活动结束后输出复盘报告，沉淀方法论；策划并执行线上营销活动（促销/拉新/裂变/节日活动）；协调设计、产品、技术等资源推动活动上线
330,品牌运营,否,本科,3-5年,苏州,新一线城市,2000人以上,8500,监测品牌舆情和口碑，及时进行声誉管理；策划品牌营销事件（联名/跨界/节日营销）；分析品牌健康度指标（认知度/好感度/搜索指数）
331,AIGC内容运营,是,本科,3-5年,西安,新一线城市,500-2000人,10600,跟踪AIGC技术前沿（Sora/Veo/可灵）并评估引入可行性；建立AIGC素材版权管理机制，确保合规使用；全面负责AIGC工具选型（文生图/文生视频/文生音乐）
332,新媒体运营专员,否,大专,1-3年,长沙,新一线城市,2000人以上,3600,撰写新媒体文案，策划选题并执行内容发布；负责微信公众号、微博等平台的日常内容更新与维护；协助策划线上活动，提升粉丝活跃度和粘性；跟踪热点话题，快速产出相关内容提升曝光；监测运营数据（阅读量、粉丝增长、互动率），输出周报
333,品牌运营,否,硕士,3-5年,南京,新一线城市,500-2000人,10900,协调外部媒体和KOL资源，扩大品牌声量；制定品牌在新媒体渠道的传播策略和调性定位；管理品牌官方账号矩阵，统一视觉和语言风格；策划品牌营销事件（联名/跨界/节日营销）
334,大模型提示词运营,是,大专,1-3年,北京,一线城市,2000人以上,11700,探索CoT/ToT等提示工程技术提升复杂任务效果；建立Prompt版本管理和A/B测试机制，持续迭代最优方案；测试不同大模型（GPT/Claude/文心/通义）的内容产出质量；搭建和维护企业的提示词（Prompt）模板库
335,内容运营,否,本科,1-3年,杭州,一线城市,15-50人,6400,优化内容标题、封面、关键词，提升SEO/推荐效果；分析内容数据（阅读量、完读率、转发率）持续迭代；管理内容日历，确保各渠道内容按时发布；策划并撰写高质量原创内容（图文/视频脚本/专题）
336,直播运营,否,本科,1-3年,南宁,二线城市,150-500人,3500,负责直播间的日常运营和排期管理；维护粉丝群，提升复购率和用户粘性；管理直播投流（千川/聚星），优化ROI；监控直播数据（在线人数/互动率/GMV）实时调整策略；分析竞品直播间打法，迭代直播话术和节奏
337,AI数据分析运营,是,大专,1-3年,杭州,一线城市,150-500人,6700,通过机器学习预测粉丝增长趋势和内容爆款概率；运用大模型进行非结构化运营数据（评论/反馈）的语义分析；搭建基于AI的用户行为分析和预测模型；利用AI进行竞品数据采集和分析，输出竞争情报
338,直播运营,否,本科,1-3年,杭州,一线城市,500-2000人,8900,管理直播投流（千川/聚星），优化ROI；维护粉丝群，提升复购率和用户粘性；监控直播数据（在线人数/互动率/GMV）实时调整策略；负责直播间的日常运营和排期管理；策划直播主题和脚本，协调主播和商品资源
339,短视频运营,否,硕士,1-3年,宜宾,三线城市,50-150人,3700,对接达人/KOL资源，策划合作推广内容；跟进拍摄和后期剪辑，把控成片质量；研究平台算法规则，提升视频推荐量和曝光；策划短视频内容选题，撰写分镜脚本
340,内容运营,否,本科,1-3年,杭州,一线城市,500-2000人,9600,挖掘用户内容偏好，产出针对性内容策略；分析内容数据（阅读量、完读率、转发率）持续迭代；策划并撰写高质量原创内容（图文/视频脚本/专题）；优化内容标题、封面、关键词，提升SEO/推荐效果；建立内容素材库和分类标签体系
341,活动运营,否,博士,5-10年,南宁,二线城市,150-500人,9700,协调设计、产品、技术等资源推动活动上线；策划并执行线上营销活动（促销/拉新/裂变/节日活动）；活动结束后输出复盘报告，沉淀方法论；监控活动实时数据，动态调整策略以提升效果
342,直播运营,否,本科,1-3年,福州,二线城市,2000人以上,5000,监控直播数据（在线人数/互动率/GMV）实时调整策略；维护粉丝群，提升复购率和用户粘性；策划直播主题和脚本，协调主播和商品资源
343,新媒体运营总监,否,大专,1-3年,苏州,新一线城市,150-500人,3300,推动新媒体与传统业务融合，探索商业变现路径；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；建立数据驱动的运营体系，对核心KPI负责
344,新媒体运营经理,否,本科,1年以下,郑州,新一线城市,500-2000人,4900,研究竞品动态和行业趋势，调整运营打法；统筹跨部门协作，推动品牌传播项目落地；带领运营团队完成各平台粉丝增长与互动目标
345,新媒体运营经理,否,大专,1-3年,苏州,新一线城市,150-500人,5500,制定新媒体矩阵整体运营策略和年度内容规划；分析运营数据，优化内容方向和投放策略；统筹跨部门协作，推动品牌传播项目落地
346,活动运营,否,大专,1-3年,上海,一线城市,50-150人,5900,活动结束后输出复盘报告，沉淀方法论；研究行业优秀活动案例，建立活动创意库；制定活动方案（目标/预算/流程/风险预案）；监控活动实时数据，动态调整策略以提升效果；协调设计、产品、技术等资源推动活动上线
347,AI内容策划,是,本科,1-3年,南昌,二线城市,150-500人,6800,对比不同AI模型的内容产出效果，持续优化选题和prompt；运用大语言模型辅助选题生成、内容大纲和初稿撰写；利用AIGC工具批量生产图文、视频等多模态内容；探索RAG（检索增强生成）技术在内容生产中的应用；建立AI内容质量评估标准，把控机器生成内容质量
348,社群运营,否,硕士,3-5年,深圳,一线城市,500-2000人,14900,处理群内投诉和负面情绪，维护社群氛围；搭建并管理微信社群/企业微信群（拉新→活跃→转化）；制定社群SOP（群规/入群欢迎语/日常互动流程）；策划社群活动（秒杀/拼团/打卡/直播）提升转化率
349,AI数据分析运营,是,博士,1-3年,南京,新一线城市,2000人以上,25200,利用AI进行竞品数据采集和分析，输出竞争情报；搭建基于AI的用户行为分析和预测模型；通过机器学习预测粉丝增长趋势和内容爆款概率；为运营团队提供AI数据洞察，驱动精细化运营决策；运用大模型进行非结构化运营数据（评论/反馈）的语义分析
350,新媒体运营经理,否,大专,1-3年,武汉,新一线城市,500-2000人,3800,研究竞品动态和行业趋势，调整运营打法；统筹跨部门协作，推动品牌传播项目落地；带领运营团队完成各平台粉丝增长与互动目标
351,智能营销运营,是,本科,1-3年,济南,二线城市,2000人以上,5800,结合大模型进行营销文案自动生成和多版本测试；搭建基于机器学习的用户生命周期价值(LTV)预测模型；运用AI进行A/B测试分析和营销素材智能优化
352,直播运营,否,硕士,5-10年,长沙,新一线城市,500-2000人,8000,管理直播投流（千川/聚星），优化ROI；分析竞品直播间打法，迭代直播话术和节奏；维护粉丝群，提升复购率和用户粘性；负责直播间的日常运营和排期管理；策划直播主题和脚本，协调主播和商品资源
353,品牌运营,否,博士,10年以上,北京,一线城市,150-500人,24000,监测品牌舆情和口碑，及时进行声誉管理；管理品牌官方账号矩阵，统一视觉和语言风格；分析品牌健康度指标（认知度/好感度/搜索指数）；协调外部媒体和KOL资源，扩大品牌声量
354,活动运营,否,硕士,5-10年,济南,二线城市,50-150人,7600,协调设计、产品、技术等资源推动活动上线；制定活动方案（目标/预算/流程/风险预案）；监控活动实时数据，动态调整策略以提升效果；活动结束后输出复盘报告，沉淀方法论；策划并执行线上营销活动（促销/拉新/裂变/节日活动）
355,短视频运营,否,本科,1-3年,武汉,新一线城市,2000人以上,5500,研究平台算法规则，提升视频推荐量和曝光；对接达人/KOL资源，策划合作推广内容；负责抖音、快手、视频号等短视频平台的账号运营；跟进拍摄和后期剪辑，把控成片质量
356,AI数据分析运营,是,大专,1-3年,合肥,二线城市,500-2000人,5800,开发AI驱动的自动化数据看板和预警系统；通过机器学习预测粉丝增长趋势和内容爆款概率；运用大模型进行非结构化运营数据（评论/反馈）的语义分析；为运营团队提供AI数据洞察，驱动精细化运营决策
357,用户运营,否,本科,1-3年,重庆,新一线城市,500-2000人,5700,设计用户增长策略，提升拉新转化率和留存率；策划用户激励活动（签到/积分/会员权益）；建立用户反馈闭环机制，推动产品优化；搭建用户分层体系（新用户/活跃用户/沉睡用户）
358,新媒体运营总监,否,大专,3-5年,苏州,新一线城市,2000人以上,5200,统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；制定公司新媒体战略方向及中长期发展规划；建立数据驱动的运营体系，对核心KPI负责
359,用户运营,否,本科,1-3年,福州,二线城市,50-150人,4200,维护核心用户社群，培养KOC并引导UGC产出；策划用户激励活动（签到/积分/会员权益）；搭建用户分层体系（新用户/活跃用户/沉睡用户）；设计用户增长策略，提升拉新转化率和留存率；通过用户调研和数据分析洞察用户需求
360,用户运营,否,本科,1-3年,上海,一线城市,150-500人,7600,维护核心用户社群，培养KOC并引导UGC产出；建立用户反馈闭环机制，推动产品优化；搭建用户分层体系（新用户/活跃用户/沉睡用户）；策划用户激励活动（签到/积分/会员权益）；设计用户增长策略，提升拉新转化率和留存率
361,智能投放运营,是,大专,5-10年,重庆,新一线城市,500-2000人,6400,通过AI分析投放数据，自动调整人群定向和投放时段；利用AI进行投放素材的智能生成和动态创意优化(DCO)；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略；探索AI在跨平台投放归因分析和预算最优分配中的应用；搭建基于机器学习的智能出价和预算分配模型
362,新媒体运营专员,否,本科,5-10年,广州,一线城市,50-150人,8700,撰写新媒体文案，策划选题并执行内容发布；监测运营数据（阅读量、粉丝增长、互动率），输出周报；协助策划线上活动，提升粉丝活跃度和粘性；跟踪热点话题，快速产出相关内容提升曝光
363,AI内容策划,是,本科,1-3年,南京,新一线城市,500-2000人,11800,运用大语言模型辅助选题生成、内容大纲和初稿撰写；对比不同AI模型的内容产出效果，持续优化选题和prompt；探索RAG（检索增强生成）技术在内容生产中的应用
364,大模型提示词运营,是,本科,1-3年,北京,一线城市,500-2000人,9900,测试不同大模型（GPT/Claude/文心/通义）的内容产出质量；针对不同业务场景设计并优化大模型提示词策略；建立Prompt版本管理和A/B测试机制，持续迭代最优方案
365,新媒体运营总监,否,大专,3-5年,合肥,二线城市,150-500人,3300,制定公司新媒体战略方向及中长期发展规划；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；推动新媒体与传统业务融合，探索商业变现路径；建立数据驱动的运营体系，对核心KPI负责；搭建并管理新媒体运营团队（10-50人）
366,AI新媒体运营,是,本科,1-3年,上海,一线城市,500-2000人,14600,利用AI分析用户画像和行为数据，制定精准运营策略；搭建AI自动化运营流程（AI客服/AI内容审核/AI标签）；运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容
367,新媒体运营专员,否,本科,1-3年,西安,新一线城市,50-150人,4900,撰写新媒体文案，策划选题并执行内容发布；负责微信公众号、微博等平台的日常内容更新与维护；回复用户评论和私信，维护品牌形象；跟踪热点话题，快速产出相关内容提升曝光
368,短视频运营,否,大专,1-3年,贵阳,二线城市,50-150人,2200,研究平台算法规则，提升视频推荐量和曝光；负责抖音、快手、视频号等短视频平台的账号运营；对接达人/KOL资源，策划合作推广内容；策划短视频内容选题，撰写分镜脚本
369,新媒体运营经理,否,本科,5-10年,西安,新一线城市,500-2000人,7900,制定新媒体矩阵整体运营策略和年度内容规划；统筹跨部门协作，推动品牌传播项目落地；带领运营团队完成各平台粉丝增长与互动目标
370,大模型提示词运营,是,本科,3-5年,武汉,新一线城市,15-50人,8000,建立Prompt版本管理和A/B测试机制，持续迭代最优方案；探索CoT/ToT等提示工程技术提升复杂任务效果；搭建和维护企业的提示词（Prompt）模板库；测试不同大模型（GPT/Claude/文心/通义）的内容产出质量；编写Prompt工程规范文档，培训团队成员使用AI工具
371,AIGC内容运营,是,大专,3-5年,杭州,一线城市,500-2000人,7400,制定AIGC内容生产SOP和质量审核流程；训练和调优Stable Diffusion/Midjourney等模型的提示词库；全面负责AIGC工具选型（文生图/文生视频/文生音乐）；探索AI在内容创意、视觉设计、音视频制作中的落地应用；建立AIGC素材版权管理机制，确保合规使用
372,直播运营,否,本科,1年以下,郑州,新一线城市,500-2000人,3800,监控直播数据（在线人数/互动率/GMV）实时调整策略；负责直播间的日常运营和排期管理；维护粉丝群，提升复购率和用户粘性；策划直播主题和脚本，协调主播和商品资源；分析竞品直播间打法，迭代直播话术和节奏
373,活动运营,否,本科,3-5年,深圳,一线城市,2000人以上,9100,监控活动实时数据，动态调整策略以提升效果；制定活动方案（目标/预算/流程/风险预案）；活动结束后输出复盘报告，沉淀方法论
374,AI数据分析运营,是,本科,1-3年,上海,一线城市,2000人以上,11200,为运营团队提供AI数据洞察，驱动精细化运营决策；开发AI驱动的自动化数据看板和预警系统；搭建基于AI的用户行为分析和预测模型
375,AI数据分析运营,是,大专,1年以下,武汉,新一线城市,500-2000人,5400,利用AI进行竞品数据采集和分析，输出竞争情报；开发AI驱动的自动化数据看板和预警系统；运用大模型进行非结构化运营数据（评论/反馈）的语义分析；为运营团队提供AI数据洞察，驱动精细化运营决策；通过机器学习预测粉丝增长趋势和内容爆款概率
376,AI内容策划,是,博士,1-3年,贵阳,二线城市,150-500人,11600,运用大语言模型辅助选题生成、内容大纲和初稿撰写；对比不同AI模型的内容产出效果，持续优化选题和prompt；结合AI数据分析用户内容偏好，制定内容策略方向；利用AIGC工具批量生产图文、视频等多模态内容
377,品牌运营,否,大专,5-10年,苏州,新一线城市,50-150人,6500,监测品牌舆情和口碑，及时进行声誉管理；分析品牌健康度指标（认知度/好感度/搜索指数）；管理品牌官方账号矩阵，统一视觉和语言风格；策划品牌营销事件（联名/跨界/节日营销）
378,直播运营,否,大专,3-5年,郑州,新一线城市,500-2000人,3400,监控直播数据（在线人数/互动率/GMV）实时调整策略；管理直播投流（千川/聚星），优化ROI；负责直播间的日常运营和排期管理；维护粉丝群，提升复购率和用户粘性
379,直播运营,否,大专,1年以下,深圳,一线城市,50-150人,4300,维护粉丝群，提升复购率和用户粘性；策划直播主题和脚本，协调主播和商品资源；负责直播间的日常运营和排期管理；监控直播数据（在线人数/互动率/GMV）实时调整策略
380,AI新媒体运营,是,大专,1-3年,深圳,一线城市,150-500人,10400,通过AIGC工具（Midjourney/Sora/可灵）制作图文和视频素材；运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容；训练和调优AI模型以适应垂直领域的运营需求
381,大模型提示词运营,是,本科,1年以下,绵阳,三线城市,500-2000人,4700,搭建和维护企业的提示词（Prompt）模板库；建立Prompt版本管理和A/B测试机制，持续迭代最优方案；探索CoT/ToT等提示工程技术提升复杂任务效果；编写Prompt工程规范文档，培训团队成员使用AI工具
382,品牌运营,否,本科,5-10年,南宁,二线城市,150-500人,5000,策划品牌营销事件（联名/跨界/节日营销）；制定品牌在新媒体渠道的传播策略和调性定位；管理品牌官方账号矩阵，统一视觉和语言风格；协调外部媒体和KOL资源，扩大品牌声量；监测品牌舆情和口碑，及时进行声誉管理
383,智能投放运营,是,本科,5-10年,北京,一线城市,500-2000人,13200,监控AI投放ROI，持续优化模型参数和投放策略；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略；搭建基于机器学习的智能出价和预算分配模型
384,大模型提示词运营,是,本科,3-5年,南昌,二线城市,500-2000人,5500,编写Prompt工程规范文档，培训团队成员使用AI工具；建立Prompt版本管理和A/B测试机制，持续迭代最优方案；探索CoT/ToT等提示工程技术提升复杂任务效果；测试不同大模型（GPT/Claude/文心/通义）的内容产出质量
385,AI新媒体运营,是,本科,1-3年,西安,新一线城市,500-2000人,7500,搭建AI自动化运营流程（AI客服/AI内容审核/AI标签）；利用AI分析用户画像和行为数据，制定精准运营策略；通过AIGC工具（Midjourney/Sora/可灵）制作图文和视频素材；探索AI+运营的创新场景，提升团队整体效率
386,AI短视频运营,是,本科,1-3年,郑州,新一线城市,500-2000人,8700,探索AI+短视频的创意表达（AI特效/AI换装/AI剧情）；通过AI数字人技术打造24小时直播/短视频产能；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材
387,活动运营,否,大专,3-5年,遵义,三线城市,50-150人,2300,协调设计、产品、技术等资源推动活动上线；研究行业优秀活动案例，建立活动创意库；监控活动实时数据，动态调整策略以提升效果；策划并执行线上营销活动（促销/拉新/裂变/节日活动）
388,社群运营,否,硕士,3-5年,重庆,新一线城市,2000人以上,9400,培养社群KOC，激励用户自发裂变拉新；分析社群数据（入群率、活跃度、转化率、流失率）；策划社群活动（秒杀/拼团/打卡/直播）提升转化率
389,短视频运营,否,本科,3-5年,上海,一线城市,2000人以上,12200,策划短视频内容选题，撰写分镜脚本；跟进拍摄和后期剪辑，把控成片质量；负责抖音、快手、视频号等短视频平台的账号运营；分析短视频数据（完播率、点赞、涨粉）优化内容
390,新媒体运营经理,否,本科,1-3年,郑州,新一线城市,150-500人,6300,统筹跨部门协作，推动品牌传播项目落地；管理运营预算，控制投入产出比(ROI)；研究竞品动态和行业趋势，调整运营打法；分析运营数据，优化内容方向和投放策略；带领运营团队完成各平台粉丝增长与互动目标
391,直播运营,否,本科,1-3年,襄阳,三线城市,500-2000人,3000,管理直播投流（千川/聚星），优化ROI；分析竞品直播间打法，迭代直播话术和节奏；维护粉丝群，提升复购率和用户粘性；监控直播数据（在线人数/互动率/GMV）实时调整策略
392,社群运营,否,本科,1-3年,昆明,二线城市,500-2000人,3800,培养社群KOC，激励用户自发裂变拉新；搭建并管理微信社群/企业微信群（拉新→活跃→转化）；分析社群数据（入群率、活跃度、转化率、流失率）；制定社群SOP（群规/入群欢迎语/日常互动流程）
393,AI新媒体运营,是,硕士,3-5年,上海,一线城市,15-50人,22100,探索AI+运营的创新场景，提升团队整体效率；搭建AI自动化运营流程（AI客服/AI内容审核/AI标签）；利用AI分析用户画像和行为数据，制定精准运营策略；通过AIGC工具（Midjourney/Sora/可灵）制作图文和视频素材；运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容
394,品牌运营,否,硕士,1-3年,杭州,一线城市,2000人以上,12900,分析品牌健康度指标（认知度/好感度/搜索指数）；监测品牌舆情和口碑，及时进行声誉管理；策划品牌营销事件（联名/跨界/节日营销）；协调外部媒体和KOL资源，扩大品牌声量；制定品牌在新媒体渠道的传播策略和调性定位
395,内容运营,否,本科,10年以上,济南,二线城市,2000人以上,8600,分析内容数据（阅读量、完读率、转发率）持续迭代；优化内容标题、封面、关键词，提升SEO/推荐效果；管理内容日历，确保各渠道内容按时发布；建立内容素材库和分类标签体系；挖掘用户内容偏好，产出针对性内容策略
396,新媒体运营经理,否,硕士,1-3年,杭州,一线城市,150-500人,12900,带领运营团队完成各平台粉丝增长与互动目标；研究竞品动态和行业趋势，调整运营打法；分析运营数据，优化内容方向和投放策略
397,AIGC内容运营,是,本科,3-5年,上海,一线城市,150-500人,12400,建立AIGC素材版权管理机制，确保合规使用；全面负责AIGC工具选型（文生图/文生视频/文生音乐）；训练和调优Stable Diffusion/Midjourney等模型的提示词库；制定AIGC内容生产SOP和质量审核流程；跟踪AIGC技术前沿（Sora/Veo/可灵）并评估引入可行性
398,新媒体运营专员,否,大专,1年以下,深圳,一线城市,500-2000人,4200,回复用户评论和私信，维护品牌形象；协助策划线上活动，提升粉丝活跃度和粘性；监测运营数据（阅读量、粉丝增长、互动率），输出周报；负责微信公众号、微博等平台的日常内容更新与维护；撰写新媒体文案，策划选题并执行内容发布
399,AI数据分析运营,是,硕士,1-3年,西安,新一线城市,15-50人,7200,开发AI驱动的自动化数据看板和预警系统；运用大模型进行非结构化运营数据（评论/反馈）的语义分析；为运营团队提供AI数据洞察，驱动精细化运营决策
400,智能投放运营,是,本科,3-5年,杭州,一线城市,50-150人,13800,搭建基于机器学习的智能出价和预算分配模型；通过AI分析投放数据，自动调整人群定向和投放时段；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略；监控AI投放ROI，持续优化模型参数和投放策略；利用AI进行投放素材的智能生成和动态创意优化(DCO)
401,新媒体运营经理,否,硕士,3-5年,武汉,新一线城市,50-150人,10300,分析运营数据，优化内容方向和投放策略；带领运营团队完成各平台粉丝增长与互动目标；管理运营预算，控制投入产出比(ROI)
402,新媒体运营总监,否,本科,3-5年,广州,一线城市,500-2000人,6800,搭建并管理新媒体运营团队（10-50人）；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；代表公司参与行业峰会，维护媒体关系和品牌声誉；推动新媒体与传统业务融合，探索商业变现路径；制定公司新媒体战略方向及中长期发展规划
403,社群运营,否,博士,3-5年,贵阳,二线城市,150-500人,10300,培养社群KOC，激励用户自发裂变拉新；策划社群活动（秒杀/拼团/打卡/直播）提升转化率；处理群内投诉和负面情绪，维护社群氛围；搭建并管理微信社群/企业微信群（拉新→活跃→转化）
404,新媒体运营经理,否,大专,5-10年,北京,一线城市,2000人以上,7600,管理运营预算，控制投入产出比(ROI)；研究竞品动态和行业趋势，调整运营打法；带领运营团队完成各平台粉丝增长与互动目标；分析运营数据，优化内容方向和投放策略
405,活动运营,否,大专,3-5年,重庆,新一线城市,500-2000人,4500,监控活动实时数据，动态调整策略以提升效果；制定活动方案（目标/预算/流程/风险预案）；研究行业优秀活动案例，建立活动创意库；活动结束后输出复盘报告，沉淀方法论；策划并执行线上营销活动（促销/拉新/裂变/节日活动）
406,智能营销运营,是,本科,3-5年,武汉,新一线城市,2000人以上,10800,设计AI驱动的个性化推荐和营销自动化流程；通过自然语言处理(NLP)分析用户评论和舆情趋势；搭建基于机器学习的用户生命周期价值(LTV)预测模型；结合大模型进行营销文案自动生成和多版本测试
407,内容运营,否,大专,1-3年,厦门,二线城市,150-500人,3800,建立内容素材库和分类标签体系；管理内容日历，确保各渠道内容按时发布；分析内容数据（阅读量、完读率、转发率）持续迭代；策划并撰写高质量原创内容（图文/视频脚本/专题）
408,AI内容策划,是,博士,5-10年,杭州,一线城市,2000人以上,36800,建立AI内容质量评估标准，把控机器生成内容质量；利用AIGC工具批量生产图文、视频等多模态内容；结合AI数据分析用户内容偏好，制定内容策略方向；探索RAG（检索增强生成）技术在内容生产中的应用；对比不同AI模型的内容产出效果，持续优化选题和prompt
409,大模型提示词运营,是,博士,5-10年,贵阳,二线城市,500-2000人,12000,探索CoT/ToT等提示工程技术提升复杂任务效果；测试不同大模型（GPT/Claude/文心/通义）的内容产出质量；编写Prompt工程规范文档，培训团队成员使用AI工具
410,新媒体运营经理,否,硕士,5-10年,南宁,二线城市,150-500人,6500,统筹跨部门协作，推动品牌传播项目落地；分析运营数据，优化内容方向和投放策略；制定新媒体矩阵整体运营策略和年度内容规划
411,AI短视频运营,是,本科,3-5年,南京,新一线城市,2000人以上,14700,使用AI工具进行批量视频剪辑、字幕生成和配音；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材；分析AI生成的视频数据，迭代提示词和制作流程
412,活动运营,否,大专,1-3年,合肥,二线城市,50-150人,3100,研究行业优秀活动案例，建立活动创意库；监控活动实时数据，动态调整策略以提升效果；活动结束后输出复盘报告，沉淀方法论
413,品牌运营,否,大专,3-5年,南宁,二线城市,15-50人,2000,监测品牌舆情和口碑，及时进行声誉管理；策划品牌营销事件（联名/跨界/节日营销）；协调外部媒体和KOL资源，扩大品牌声量
